"country","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","BBIBP-CorV","Oxford/AstraZeneca","Pfizer/BioNTech","Sinovac","Sputnik V","Sinopharm/Beijing","Johnson&Johnson","Moderna","Covaxin","CanSino","Sinopharm/Wuhan","Abdala","Soberana02","QazVac","Sinopharm/HayatVax","EpiVacCorona","RBD-Dimer","Region","Surface area (km2)","Population in thousands (2017)","Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP: Gross domestic product (million current US$)","GDP growth rate (annual %, const. 2005 prices)","GDP per capita (current US$)","Economy: Agriculture (% of GVA)","Economy: Industry (% of GVA)","Economy: Services and other activity (% of GVA)","Employment: Agriculture (% of employed)","Employment: Industry (% of employed)","Employment: Services (% of employed)","Unemployment (% of labour force)","Agricultural production index (2004-2006=100)","Food production index (2004-2006=100)","International trade: Exports (million US$)","International trade: Imports (million US$)","International trade: Balance (million US$)","Balance of payments, current account (million US$)","Population growth rate (average annual %)","Urban population (% of total population)","Urban population growth rate (average annual %)","Fertility rate, total (live births per woman)","Refugees and others of concern to UNHCR (in thousands)","Infant mortality rate (per 1000 live births","Health: Total expenditure (% of GDP)","Education: Government expenditure (% of GDP)","Seats held by women in national parliaments %","Mobile-cellular subscriptions (per 100 inhabitants)","Individuals using the Internet (per 100 inhabitants)","Threatened species (number)","CO2 emission estimates (million tons/tons per capita)","Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)"
"Afghanistan",765890,582128,183762,12986,1.97,1.5,0.47,334,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernAsia",652864,35530,54.4,106.3,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10,28.5,8.6,125,125,1458,3568,-2110,-5121,3.2,26.7,4,5.3,1513.1,68.6,8.2,3.3,27.7,8.3,42,2.1,63,5,21.43
"Albania",901429,525800,375629,7571,31.32,18.27,13.05,2631,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernEurope",28748,2930,106.9,101.9,11541,2.6,3984.2,22.4,26,51.7,41.4,18.3,40.3,15.8,134,134,1962,4669,-2707,-1222,-0.1,57.4,2.2,1.7,8.8,14.6,5.9,3.5,22.9,63.3,130,28.2,84,36,2.96
"Algeria",2500000,2500000,,22664,5.7,5.7,,517,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,"NorthernAfrica",2381741,41318,17.3,102,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,160,161,29992,47091,-17099,-27229,2,70.7,2.8,3,99.8,27.7,7.2,"...",31.6,38.2,135,0.8,5900,55,0.05
"Andorra",63265,38667,24598,1737,81.88,50.04,31.84,22481,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernEurope",468,77,163.8,102.3,2812,0.8,39896.4,0.5,10.8,88.6,-99,-99,-99,-99,-99,-99,100,1355,-1255,-99,-1.6,85.1,0.1,1.2,-99,-99,8.1,3.3,32.1,96.9,13,34,1,119,-99
"Angola",1380174,866381,513793,14642,4.2,2.64,1.56,446,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"MiddleAfrica",1246700,29784,23.9,96.2,117955,3,4714.1,6.8,51.2,42,4.2,37.6,58.2,6.6,175,176,21011,8790,12221,-10273,3.5,44.1,5,6,45.7,65.4,3.3,"...",38.2,12.4,146,46.5,3902,25,0.42
"Anguilla",15198,9183,6015,37,101.31,61.21,40.09,2466,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",91,15,165.7,97.6,320,2.9,21879.6,2.3,15.7,82,"...","...","...","...",-99,-99,2,154,-153,-48,1.2,100,1.2,"...","~0.0",-99,-99,"...",-99,76,52,61.1,0,136,-99
"Antigua and Barbuda",62809,35768,27041,542,64.14,36.52,27.61,5535,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",442,102,231.8,92.3,1356,4.1,14764.5,1.9,18.3,79.8,"...","...","...","...",88,88,61,491,-429,-204,1.1,23.8,-0.9,2.1,"~0.0",9.1,5.5,"...",11.1,65.2,55,22.3,-99,84,0.12
"Argentina",18646784,14886910,3759874,252881,41.26,32.94,8.32,5595,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,"SouthAmerica",2780400,44271,16.2,95.9,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,6.5,119,119,57733,55610,2124,-15944,1,91.8,1,2.3,5,13.7,4.8,5.3,38.9,69.4,256,10,3167,85,0.01
"Armenia",55557,,,1132,1.87,,,382,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAsia",29743,2930,102.9,88.8,10529,3,3489.1,19,28.3,52.8,35,15.7,49.3,16.6,135,135,1776,3230,-1455,-279,0.3,62.7,-0.1,1.6,19.3,13.2,4.5,2.8,9.9,58.2,114,11.7,48,46,3.17
"Aruba",124856,67126,57730,311,116.94,62.87,54.07,2913,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",180,105,584.8,90.4,2702,0.1,26005.4,0.5,15.4,84.1,0.6,14,85.1,"...",-99,-99,95,1117,-1022,96,0.5,41.5,-0.3,1.8,"~0.0",14.8,-99,6.2,-99,88.7,32,2.3,1,120,-99
"Australia",6860276,5754768,1105508,110994,26.9,22.57,4.34,4353,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Oceania",7692060,24451,3.2,99.3,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111,111,189630,189406,224,-57746,1.5,89.4,1.5,1.9,58.2,3.9,9.4,5.2,28.7,84.6,948,16.2,15282,222,-99
"Austria",7125249,4553906,2667772,80446,79.11,50.56,29.62,8932,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"WesternEurope",83871,8736,106,96.2,376967,1,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108,108,145503,149299,-3795,7020,0.6,66,0.4,1.4,166.4,3.3,11.2,5.5,30.6,83.9,118,46.9,505,158,-99
"Azerbaijan",3080340,1997612,1082728,34431,30.38,19.7,10.68,3396,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAsia",86600,9828,118.9,99.3,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131,136,9143,8532,611,-222,1.3,54.6,1.6,2.1,623.3,31.4,6,2.6,16.8,77,97,13.5,2459,61,0.14
"Bahamas",79246,54199,25047,1391,20.15,13.78,6.37,3537,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",13940,395,39.5,95.9,8854,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,132,132,365,2904,-2539,-1409,1.4,82.9,1.5,1.8,0.1,9.1,7.7,"...",13.2,78,86,51.4,0,90,-99
"Bahrain",1978826,1048212,930614,9679,116.29,61.6,54.69,5688,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,"WesternAsia",771,1493,1963.9,168.3,31126,2.9,22600.2,0.3,40.7,59,1,33.4,65.6,1.3,167,167,12892,14749,-1856,1124,2,88.8,1.7,2.1,0.4,6.9,5,2.7,7.5,93.5,36,0.8,961,413,-99
"Bangladesh",10090206,5823245,4266961,2195,6.13,3.54,2.59,13,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernAsia",147570,164670,1265,101.7,194466,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4,141,140,36031,52624,-16593,2687,1.2,34.3,3.6,2.2,233,33.3,2.8,1.9,20.3,14.4,151,11,1438,11,1.24
"Barbados",160266,92874,67392,1139,55.77,32.32,23.45,3964,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",431,286,664.5,91.9,4385,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,88,88,517,1621,-1104,-248,0.3,31.5,0.1,1.8,"~0.0",9.6,7.5,6.6,16.7,76.1,56,14.7,2,59,"..."
"Belarus",1068413,699141,369272,20498,11.31,7.4,3.91,2169,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,"EasternEurope",207600,9468,46.7,87,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32,58.4,0.5,122,122,23414,27464,-4050,-2037,"~0.0",76.7,"~0.0",1.6,7.9,3.6,5.7,4.9,34.5,62.2,25,42.5,155,122,0.2
"Belgium",9873185,6483736,3610949,126990,85.19,55.94,31.16,10957,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"WesternEurope",30528,11429,377.5,97.3,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,108,107,398033,372713,25321,1936,0.6,97.9,0.5,1.8,63.8,3.5,10.6,6.6,38,85.1,37,22.6,520,196,-99
"Belize",106010,79993,26017,1508,26.66,20.12,6.54,3793,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"CentralAmerica",22966,375,16.4,99.2,1721,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,97,97,246,952,-706,-175,2.2,44,1.9,2.6,3.1,14.3,5.8,6.4,9.4,41.6,117,60.1,9,36,1.68
"Benin",26624,21834,4790,761,0.22,0.18,0.04,63,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",114763,11176,99.1,99.5,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1,152,158,410,2630,-2220,-885,2.8,44,3.7,5.2,0.8,67.7,4.6,4.4,7.2,6.8,88,38.7,96,17,5.09
"Bermuda",76860,41198,35662,287,123.42,66.16,57.27,4609,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"NorthernAmerica",53,61,1227,91.4,5853,0.4,94399.9,0.7,5.3,94,1.6,10.3,87.6,6.7,115,115,8,971,-963,817,-0.6,100,0.2,1.5,-99,-99,-99,1.7,-99,98.3,72,20,1,136,-99
"Bhutan",484189,484189,,87,62.75,62.75,,113,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernAsia",38394,808,21.2,113.1,2074,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,98,98,616,1688,-1072,-579,1.6,38.6,3.7,2.2,-99,30.5,3.6,7.4,8.5,39.8,71,72,75,82,5.26
"Bolivia (Plurinational State of)",2231841,1645289,586552,19774,19.12,14.09,5.02,1694,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,"SouthAmerica",1098581,11052,10.2,100.2,32998,4.8,3076.8,12.6,31,56.5,29.5,21.1,49.4,3.8,142,143,6969,8374,-1405,-1854,1.6,68.5,2.3,3,0.8,42.9,6.3,7.3,53.1,45.1,231,50.8,962,32,2.38
"Bosnia and Herzegovina",315780,252499,63281,4372,9.63,7.7,1.93,1333,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernEurope",51209,3507,68.8,96.4,16251,3.1,4265,7.3,26.5,66.2,18,30.4,51.7,25.4,96,97,5327,9130,-3803,-923,-1,39.8,0.1,1.3,157.6,7.6,9.6,-99,21.4,65.1,91,42.7,252,85,2.2
"Botswana",200893,152383,48510,5283,8.54,6.48,2.06,2247,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernAfrica",582000,2292,4,97.7,14391,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,110,110,7321,6103,1218,1120,1.8,57.4,1.3,2.9,2.8,35.2,5.4,"...",9.5,27.5,28,19.3,47,44,0.46
"Brazil",91593968,67005097,24588871,1436195,43.09,31.52,11.57,6757,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthAmerica",8515767,209288,25,96.6,1772591,-3.8,8528.3,5.2,22.7,72,15.2,21.5,63.2,12.4,135,136,185235,137552,47683,-58882,0.9,85.7,1.2,1.8,41.1,15.8,8.3,6,10.7,59.1,990,59.2,10948,61,0.06
"British Virgin Islands",20278,12405,7873,106,67.06,41.03,26.04,3506,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",151,31,208,97.1,908,-1.1,30144.5,1,11.1,87.8,"...","...","...",-99,103,103,"~0",444,-444,-99,2,46.2,1.8,"...","...",-99,-99,6.6,-99,37.6,67,24.1,0,85,-99
"Bulgaria",1695298,927575,767723,10793,24.4,13.35,11.05,1553,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"EasternEurope",111002,7085,65.3,94.6,48953,3,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,117,119,26088,28875,-2787,196,-0.6,73.9,-0.3,1.5,33.7,8.3,8.4,4.1,19.2,56.7,104,35.1,474,103,-99
"Burkina Faso",17775,17775,,1825,0.09,0.09,,87,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",272967,19193,70.2,99.5,11065,4.1,611.1,34.5,21.8,43.7,80,4.9,15.1,2.9,131,134,2019,3699,-1680,-998,3,29.9,5.9,5.6,32.7,64.8,5,4.1,11,11.4,31,19.8,123,9,9.11
"Cambodia",6378584,3619420,2759164,88076,38.15,21.65,16.5,5268,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,"South-easternAsia",181035,16005,90.7,95.3,18050,7,1158.7,28.2,29.4,42.3,42.4,19.6,38,0.3,175,177,13204,15313,-2109,-1657,1.6,20.7,2.6,2.7,0.3,29.9,5.7,1.9,20.3,19,255,54.3,178,17,3.97
"Cameroon",97245,78476,18769,1250,0.37,0.3,0.07,47,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"MiddleAfrica",475650,24054,50.9,100.2,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,155,160,2130,4899,-2768,-1173,2.7,54.4,3.6,5,544.9,67.5,4.1,3,31.1,20.7,775,40.3,408,14,2.31
"Canada",33585366,25311357,8274009,457963,88.99,67.06,21.92,12134,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"NorthernAmerica",9984670,36624,4,98.5,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,109,109,388911,402954,-14043,-53083,1,81.8,1.2,1.6,155.8,4.7,10.4,5.3,26.3,88.5,122,38.2,19276,324,-99
"Cayman Islands",89619,47419,41949,326,136.36,72.15,63.83,4960,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",264,62,256.5,100.4,3726,0.7,62132,0.3,7.5,92.2,0.8,15.5,83.6,6.3,104,104,18,991,-972,-99,1.5,100,1.5,"...",0.1,-99,-99,-99,-99,77,74,52.9,-99,130,-99
"Central African Republic",42644,41095,1549,2300,0.88,0.85,0.03,476,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,"MiddleAfrica",622984,4659,7.5,97.3,1633,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,6.9,114,113,213,147,66,-99,0.4,40,2.6,5.1,470.5,93.5,4.2,1.2,8.6,4.6,60,35.6,19,5,32.25
"Chad",5324,5324,,,0.03,0.03,,,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"MiddleAfrica",1284000,14900,11.8,100.2,10009,6.6,713,25.4,39,35.6,76.6,2,21.4,5.8,146,151,1990,1371,619,-99,3.3,22.5,3.4,6.3,512.3,91.2,3.6,2.8,12.8,2.7,43,4,288,6,5.74
"Chile",21731308,12206213,9747151,121736,113.68,63.85,50.99,6368,false,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,"SouthAmerica",756102,18055,24.3,98.2,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111,111,59884,58804,1080,-4761,0.9,89.5,1.1,1.8,3.7,7.4,7.8,4.9,15.8,64.3,197,23.4,540,85,0.02
"China",1095902000,,,21536000,76.14,,,14963,false,false,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false,"EasternAsia",9600000,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,27,23.9,49.1,4.6,132,133,2118981,1588696,530285,330602,0.5,55.6,3,1.6,301.7,11.6,5.5,-99,23.7,50.3,1080,22,101394,87,0
"Colombia",15682435,10493152,5189283,316710,30.82,20.62,10.2,6224,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthAmerica",1141748,49066,44.2,96.8,292080,3.1,6056.1,6.8,34,59.2,13.5,16.6,69.9,10.5,114,115,31045,44831,-13786,-18922,1,76.4,1.7,1.9,7127,17.9,7.2,4.5,18.7,55.9,835,52.8,5380,31,0.47
"Comoros",84360,43140,41220,57,9.7,4.96,4.74,66,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,"EasternAfrica",2235,814,437.4,101.8,1079,4.8,1368.9,30.7,4,65.3,62,5.2,32.8,20,107,107,20,193,-173,"...",2.4,28.3,2.7,4.6,"...",58.1,6.7,4.3,6.1,7.5,114,20.1,3,6,12.05
"Congo",67511,,,1078,1.22,,,195,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,"MiddleAfrica",342000,5261,15.4,100.1,8493,1.2,1838.1,4.7,70,25.3,40.7,25.8,33.5,11.5,106,106,2540,9793,-7253,"...",2.6,65.4,3.2,4.9,54.9,46.5,5.2,"...",7.4,7.6,134,65.4,648,24,1.05
"Cook Islands",17556,9613,7943,812,99.95,54.73,45.22,46231,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Polynesia",236,17,72.4,97.4,294,5.5,14118.7,8.1,9,82.9,4.3,11.7,84,8.2,91,91,14,98,-84,-99,-1.2,74.5,0.9,2.6,-99,3.6,3.4,3.9,-99,-99,75,62.9,-99,48,-99
"Costa Rica",2331030,1535967,795063,22564,45.76,30.15,15.61,4429,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"CentralAmerica",51100,4906,96.1,100.1,52958,3.7,11015,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127,129,9908,15322,-5414,-2493,1.1,76.8,2.7,1.9,10.1,9.3,9.3,7.2,35.1,59.8,340,53.4,110,44,0.22
"Croatia",2389633,1456750,932833,27583,58.21,35.48,22.72,6719,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"SouthernEurope",56594,4189,74.9,93.1,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64,11.7,91,91,13648,21830,-8182,2492,-0.4,59,0.1,1.5,15.5,3.9,7.8,4.6,19.9,69.8,176,34.3,182,79,"..."
"Cuba",4979420,2277657,924789,161573,43.96,20.11,8.16,14265,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,"Caribbean",109884,11485,107.9,100.1,87206,4.4,7656.6,5,20.5,74.5,12.9,11.7,75.3,3,100,101,18000,4911,13089,-99,0.2,77.1,0.1,1.7,0.4,5.5,11.1,"...",48.9,31.1,339,30.2,212,47,"..."
"Cyprus",753106,447383,305723,7391,85.98,51.08,34.9,8438,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"WesternAsia",9251,1180,127.7,100.2,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,80,80,1920,6604,-4684,-576,0.9,66.9,0.9,1.4,16.2,4.2,7.4,6.1,17.9,71.7,72,18.7,5,72,-99
"Czechia",7570988,4874315,2779741,93889,70.7,45.52,25.96,8767,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"EasternEurope",78868,10618,137.5,96.7,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37,60.5,3.9,102,102,161248,140316,20932,1683,0.1,73,0.3,1.5,6,2.5,7.4,4.1,20,81.3,53,34.5,1221,164,-99
"Denmark",,3114453,1703645,,,53.77,29.41,,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"NorthernEurope",42921,5734,135.1,99,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6,105,105,94355,85133,9222,27582,0.5,87.7,0.6,1.7,48.2,3.5,10.8,8.6,37.4,96.3,47,14.4,666,119,-99
"Djibouti",21357,12547,8810,802,2.16,1.27,0.89,812,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,"EasternAfrica",23200,957,41.3,100.7,1737,6.5,1956.3,3.3,21.4,75.3,22.8,23.9,53.2,6.6,133,133,134,987,-852,-548,1.7,77.3,1.6,3.1,19.9,55.3,10.6,"...",10.8,11.9,98,0.2,3,13,"..."
"Dominica",38192,20183,18009,65,53.05,28.04,25.02,903,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",750,74,98.6,103,512,-1.8,7051.1,15.4,13.2,71.5,"...","...","...","...",110,111,23,214,-191,-72,0.5,69.5,0.8,"...",-99,-99,5.5,-99,25,67.6,66,58.1,0,29,2.36
"Dominican Republic",7301587,4691111,2610476,118355,67.31,43.24,24.06,10910,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",48671,10767,222.8,99.2,67103,7,6373.6,6.6,28,65.4,13.1,16.9,70,14.4,136,138,3747,22725,-18978,-1335,1.2,79,2.6,2.5,1.3,25.1,4.4,"...",26.8,51.9,184,40.4,28,28,0.43
"Ecuador",3725385,2480014,1245371,84571,21.12,14.06,7.06,4793,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthAmerica",257217,16625,66.9,99.9,100177,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,118,119,16798,16189,609,-2201,1.6,63.7,1.9,2.6,133.1,21.1,9.2,5,41.6,48.9,2358,50.8,1247,42,0.31
"Egypt",4010467,3315854,694613,54800,3.92,3.24,0.68,535,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,"NorthernAfrica",1002000,97553,98,102.3,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,120,122,22507,58053,-35545,-16786,2.2,43.1,1.7,3.4,256.5,18.9,5.6,"...",14.9,35.9,156,0.1,3509,36,0.78
"El Salvador",2586522,1508453,1078069,22724,39.88,23.26,16.62,3503,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"CentralAmerica",21041,6378,307.8,88.5,25850,2.5,4219.4,10.8,25.8,63.3,18.6,20.2,61.2,6.4,111,117,5335,9855,-4519,-920,0.5,66.7,1.4,2.2,4.7,17,6.8,3.5,32.1,26.9,86,13,86,28,0.36
"Equatorial Guinea",257146,148579,108567,1417,18.33,10.59,7.74,1010,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"MiddleAfrica",28052,1268,45.2,124,13812,-7.4,16344.1,1.2,73.1,25.7,18.8,18,63.2,7.7,117,118,7443,5456,1987,-99,4.2,39.9,3.1,5,-99,70,3.8,-99,24,21.3,177,56.3,841,87,0.15
"Estonia",914509,548942,365567,7585,68.94,41.38,27.56,5718,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"NorthernEurope",45227,1310,30.9,88.2,22460,1.4,17112,3.4,27.4,69.2,3.8,29,67.3,7.2,136,136,13952,15759,-1807,493,-0.3,67.5,-0.4,1.6,84.2,3.2,6.4,5.5,26.7,88.4,23,52.7,242,193,-99
"Ethiopia",1982320,,,3957,1.72,,,34,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"EasternAfrica",1104300,104957,105,99.7,59917,9.6,602.8,40.5,16,43.5,70.5,8.4,21.1,5.7,158,157,1724,19121,-17397,"...",2.6,19.5,4.9,4.6,745.7,45.8,4.9,4.5,38.8,11.6,148,12.5,1308,15,5.28
