"country","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","BBIBP-CorV","Oxford/AstraZeneca","Pfizer/BioNTech","Sinovac","Sputnik V","Sinopharm/Beijing","Johnson&Johnson","Moderna","Covaxin","CanSino","Sinopharm/Wuhan","Abdala","Soberana02","QazVac","Sinopharm/HayatVax","EpiVacCorona","RBD-Dimer","Region","Surface area (km2)","Population in thousands (2017)","Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP: Gross domestic product (million current US$)","GDP growth rate (annual %, const. 2005 prices)","GDP per capita (current US$)","Economy: Agriculture (% of GVA)","Economy: Industry (% of GVA)","Economy: Services and other activity (% of GVA)","Employment: Agriculture (% of employed)","Employment: Industry (% of employed)","Employment: Services (% of employed)","Unemployment (% of labour force)","Agricultural production index (2004-2006=100)","Food production index (2004-2006=100)","International trade: Exports (million US$)","International trade: Imports (million US$)","International trade: Balance (million US$)","Balance of payments, current account (million US$)","Population growth rate (average annual %)","Urban population (% of total population)","Urban population growth rate (average annual %)","Fertility rate, total (live births per woman)","Refugees and others of concern to UNHCR (in thousands)","Infant mortality rate (per 1000 live births","Health: Total expenditure (% of GDP)","Education: Government expenditure (% of GDP)","Seats held by women in national parliaments %","Mobile-cellular subscriptions (per 100 inhabitants)","Individuals using the Internet (per 100 inhabitants)","Threatened species (number)","CO2 emission estimates (million tons/tons per capita)","Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)"
"Nicaragua",167500,167500,,82,2.53,2.53,,12,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,"CentralAmerica",130373,6218,51.7,97.2,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130,130,2225,5927,-3701,-1045,1.2,58.8,2,2.3,0.6,20,9,"...",45.7,19.7,144,25.9,91,26,3.68
"Niger",186207,172812,13395,982,0.77,0.71,0.06,41,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",1267000,21477,17,100.6,7143,3.6,359,39.6,19.1,41.3,62.3,14.4,23.3,2.7,148,148,927,1861,-933,-1150,3.8,18.7,5.1,7.4,312.5,65.8,6,6.7,17,2.2,34,0.9,101,5,12.26
"Nigeria",2659153,1978808,680345,39399,1.29,0.96,0.33,191,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",923768,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116,117,104084,36533,67551,-15763,2.7,47.8,4.7,5.7,2437.5,76.3,3.7,-99,5.6,47.4,361,8.1,10851,32,0.52
"Norway",3706706,2233536,1473170,45316,68.37,41.2,27.17,8359,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"NorthernEurope",386194,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,103,104,89120,72473,16647,33746,1.2,80.5,1.3,1.8,73.2,2.4,9.7,7.4,39.6,96.8,64,33.2,8204,233,-99
"Oman",859000,666000,193000,36165,16.82,13.04,3.78,7082,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAsia",309500,4636,15,192.8,69832,5.7,15550.8,1.5,51.1,47.3,5,39.6,55.4,17.8,134,134,24455,23260,1195,-10807,6.5,77.6,8.5,2.9,0.6,9.6,3.6,5,1.2,74.2,99,"~0.0",3101,239,"..."
"Pakistan",13484364,10833547,3566547,248354,6.1,4.9,1.61,1124,false,true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,"SouthernAsia",796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,5.9,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,3.7,2739.4,69.8,2.6,2.6,20.6,18,140,2,2202,17,1.32
"Panama",1444047,,499244,14323,33.47,,11.57,3320,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"CentralAmerica",75320,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,70,14.5,19.6,65.9,6.2,117,118,636,11697,-11061,-3377,1.7,66.6,2.1,2.6,21.5,15.2,8,3.2,18.3,51.2,383,62.3,31,35,0.02
"Papua New Guinea",38176,38176,,987,0.43,0.43,,110,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"Melanesia",462840,8251,18.2,103.5,21315,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26,2.5,84,83,8760,8874,-114,5326,2.2,13,2.1,3.8,9.7,49,4.3,-99,2.7,7.9,493,74.1,114,22,3.51
"Paraguay",662804,422474,240330,17893,9.29,5.92,3.37,2509,false,true,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,"SouthAmerica",406752,6811,17.1,102.9,27714,3.1,4174.4,19,29.5,51.6,19.6,19.5,61,5.5,160,166,8494,9753,-1259,-462,1.3,59.7,2.1,2.6,0.2,28.8,9.8,5,13.8,44.4,59,39.4,325,38,0.22
"Peru",6606935,3937353,2669582,99085,20.04,11.94,8.1,3005,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"SouthAmerica",1285216,32166,25.1,99.8,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145,148,36040,36185,-145,-9210,1.3,78.6,1.7,2.5,2.5,18.6,5.5,4,27.7,40.9,685,57.9,1020,30,0.18
"Philippines",8928249,6681352,2246897,222849,8.15,6.1,2.05,2034,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,"South-easternAsia",300000,104918,351.9,101.3,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,122,120,56313,85909,-29596,7694,1.6,44.4,1.3,3,240.2,22.2,4.7,"...",29.5,40.7,783,26.2,991,19,0.15
"Poland",27467853,16409509,11934134,283553,72.58,43.36,31.53,7492,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"EasternEurope",312679,38171,124.6,93.4,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,113,113,196455,188518,7937,-2932,"-~0.0",60.5,-0.1,1.3,23.7,4.5,6.4,4.9,28,68,58,30.7,2819,102,-99
"Portugal",7774300,5098492,3014763,94614,76.24,50,29.57,9279,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"SouthernEurope",92226,10330,112.8,89.8,199122,1.6,19239.2,2.3,22.3,75.4,8,23.8,68.2,10.5,104,104,55658,67580,-11922,842,-0.4,63.5,1,1.3,1.8,2.9,9.5,5.1,34.8,68.6,281,34.9,250,84,-99
"Qatar",2926066,1635054,1291012,11497,101.56,56.75,44.81,3991,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"WesternAsia",11607,2639,227.3,301.2,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,154,154,57254,32058,25196,13751,6.6,99.2,6,2,1.5,7.2,2.2,3.6,0,92.9,39,0,9166,846,-99
"Romania",8780559,4650160,4389865,25715,45.64,24.17,22.82,1337,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"EasternEurope",238391,19679,85.5,94,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,100,100,63581,74605,-11024,-2096,-0.6,54.6,"~0.0",1.5,3.2,8.7,5.6,3.1,20.7,55.8,104,29.5,1109,68,-99
"Russian Federation",36044137,20390788,15653349,403434,24.7,13.97,10.73,2764,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,"EasternEurope",17098246,143990,8.8,86.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,120,120,285491,182257,103234,69000,0.1,74,-0.1,1.7,418.4,8.3,7.1,3.9,15.8,73.4,235,49.8,54829,208,-99
"Rwanda",578569,350400,228169,6154,4.47,2.71,1.76,475,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"EasternAfrica",26338,12208,494.9,96.2,8096,6.9,697.3,34.6,15.1,50.3,75,7.2,17.8,2.4,139,139,622,1778,-1157,-1099,2.5,28.8,6.4,4.2,155.1,44,7.5,3.6,61.3,18,62,19.2,84,8,13.67
"Saint Helena",7892,4361,3531,97,130,71.83,58.16,15978,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",308,4,10.4,-99,-99,-99,-99,-99,-99,-99,"...","...","...","...",-99,-99,"~0",48,-48,-99,-0.7,39.4,-0.6,-99,-99,-99,-99,-99,-99,37.6,100,5.1,0,41,-99
"Saint Kitts and Nevis",33982,22403,11579,263,63.89,42.12,21.77,4944,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",261,55,212.9,97,876,3.8,15771.9,1.2,28.1,70.7,"...","...","...","...",39,39,51,332,-280,-63,1.1,32,1.3,-99,"~0.0",-99,5.1,2.8,13.3,75.7,52,42.3,0,59,3.93
"Saint Lucia",51563,30270,21293,122,28.08,16.48,11.6,664,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",539,179,293.2,95.9,1450,1.9,7839.4,2.7,12.9,84.4,14.8,17.6,67.6,19,69,69,120,654,-535,-100,0.5,18.5,0.9,1.5,"~0.0",10.9,6.7,4.9,16.7,52.4,62,33.4,0,33,0.97
"Saint Vincent and the Grenadines",23640,,,89,21.31,,,802,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",389,110,281.8,101.7,738,1.6,6739.2,7.5,17.2,75.3,22.1,16.1,61.8,19.1,115,115,47,335,-288,-210,"~0.0",50.6,0.7,2,-99,16.5,8.6,"...",13,51.8,58,69.2,0,29,1.8
"Samoa",45178,43983,1195,745,22.77,22.17,0.6,3755,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Polynesia",2842,196,69.4,106.6,774,2.8,4006,9.3,24.2,66.6,5.3,14.8,79.8,6.5,107,107,56,350,-294,-44,0.8,19.1,-0.2,4.2,"~0.0",18,7.2,"...",10,25.4,93,60.4,2,24,12.75
"San Marino",44379,22290,22290,104,130.76,65.68,65.68,3064,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernEurope",61,33,556.7,94.9,1565,1,49240.2,0.1,33.3,66.6,"...","...","...",6.6,-99,-99,-99,-99,-99,-99,1.2,94.2,0.6,"...",-99,-99,6.1,2.4,26.7,49.6,1,0,-99,-99,-99
"Sao Tome and Principe",23918,12374,11544,201,10.91,5.65,5.27,917,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"MiddleAfrica",964,204,212.8,99.2,334,4,1752.8,12.3,14.7,73,22.2,13.5,64.3,13.6,119,119,10,139,-129,-69,2.2,65.1,3.6,4.7,-99,43.8,8.1,3.8,18.2,25.8,94,55.8,1,14,12.39
"Saudi Arabia",16933104,,,100745,48.64,,,2894,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAsia",2206714,32938,15.3,132.9,653219,3.4,20710.6,2.3,46,51.8,5.9,22.7,71.4,5.5,96,96,182329,135904,46426,-56724,2.8,83.1,2.1,2.7,70.2,13,4.7,"...",19.9,69.6,131,0.5,25904,287,"..."
"Senegal",632648,480311,152337,13597,3.78,2.87,0.91,812,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",196712,15851,82.3,96.6,13633,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,9.3,126,127,2640,5478,-2838,-1348,3,43.7,3.6,5,17.6,43.9,4.7,7.4,42.7,21.7,123,43.2,77,11,6.49
"Serbia",5146241,2693998,2452243,23928,75.63,39.59,36.04,3516,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,"SouthernEurope",88499,8791,100.5,95.6,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,102,102,14852,19231,-4379,-1751,-0.4,55.6,-0.3,1.6,254.1,9.8,10.4,4.2,34.4,65.3,71,31.1,393,62,0.9
"Seychelles",137676,70660,67016,60,140,71.85,68.15,610,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"EasternAfrica",457,95,206,97.2,1363,6.8,14133.2,2.7,13.6,83.8,3.6,17.9,78.2,4.1,105,109,335,833,-498,-256,0.5,53.9,1.1,2.4,-99,10.2,3.4,3.6,21.2,58.1,439,88.4,0,72,0.5
"Sierra Leone",97315,82145,15170,906,1.22,1.03,0.19,114,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",72300,7557,104.7,98.1,4483,-20.3,694.8,51.4,17.6,31.1,68,6.5,25.5,3.1,168,168,466,958,-492,-1317,2.3,39.9,2.7,4.8,0.8,94.4,11.1,2.7,12.4,2.5,177,41.3,53,11,21.56
"Singapore",5029006,2971570,2057436,48231,85.96,50.79,35.17,8244,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"South-easternAsia",719,5709,8155.5,97.7,292734,2,52239,"~0.0",26.4,73.6,0.3,17,82.6,2,112,112,329871,283009,46862,57922,1.7,100,2,1.2,"~0.0",2.1,4.9,2.9,23.8,82.1,293,23.1,27,209,-99
"Sint Maarten (Dutch part)",36209,20358,15851,310,84.44,47.47,36.96,7229,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"Caribbean",34,40,1180,95.7,1094,0.5,28241.7,0.1,12.3,87.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,23,3.1,100,2,-99,"~0.0",-99,-99,-99,-99,-99,51,-99,-99,303,-99
"Slovakia",3399122,1978168,1420954,34405,62.26,36.23,26.03,6302,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"EasternEurope",49035,5448,113.3,94.6,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,97,97,77565,75156,2409,193,0.1,53.6,-0.3,1.4,2.7,5.7,8.1,4.2,20,85,54,40.3,264,121,-99
"Slovenia",1413358,804760,608598,8093,67.98,38.71,29.27,3893,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernEurope",20273,2080,103.3,98.6,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,89,89,27585,26646,939,2216,0.3,49.7,0.1,1.6,0.6,2.5,9.2,5.5,36.7,73.1,143,62,154,135,-99
"Solomon Islands",,18042,,,,2.63,,,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Melanesia",28896,611,21.8,103.4,1075,3.2,1841.6,28.2,15.6,56.3,48.1,2.4,49.5,31.4,118,118,437,454,-17,-36,2.1,22.3,4.2,4.1,"~0.0",30,5.1,"...",2,10,245,78.3,3,11,16.47
"Somalia",178264,135107,43157,2999,1.12,0.85,0.27,189,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"EasternAfrica",637657,14742,23.5,99.3,1559,2.7,144.5,60.2,7.4,32.5,72,4.8,23.2,6.6,112,112,925,530,394,-99,2.9,39.6,4.1,6.6,1168.4,79.5,-99,-99,24.2,1.8,175,10.3,129,12,22.85
"South Africa",2229242,2229242,479768,51036,3.76,3.76,0.81,861,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,"SouthernAfrica",1221037,56717,46.8,96.4,314571,1.3,5773,2.4,28.9,68.7,6.1,26.2,67.7,26,125,126,74111,74744,-633,-13644,1.4,64.8,1.6,2.6,1201.9,36.5,8.8,6,42.2,51.9,581,7.6,7102,122,0.47
"South Sudan",29410,27338,2072,1673,0.26,0.24,0.02,149,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"EasternAfrica",658841,12576,20.6,100.4,13167,2,1067,4.6,58,37.4,-99,-99,-99,"...",-99,-99,2389,750,1640,-935,3.3,18.8,5.1,5.2,2231.2,77.7,2.7,1.8,28.5,17.9,49,-99,337,2,21.07
"Spain",37560626,23772029,15138439,476586,80.34,50.84,32.38,10193,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"SouthernEurope",505944,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,102,102,281777,302539,-20762,16208,-0.2,79.6,0.7,1.3,28.8,2.9,9,4.3,39.1,78.7,617,36.8,1432,102,-99
"Sri Lanka",3324349,2482166,842183,56305,15.52,11.59,3.93,2629,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,"SouthernAsia",65610,20877,332.9,92.5,82316,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,5.2,120,122,10546,19501,-8955,-2009,0.5,18.4,0.8,2.1,44.2,8.2,3.5,2.2,5.8,30,587,33.1,179,20,0.53
"Sudan",610924,508271,102653,11495,1.39,1.16,0.23,262,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"NorthernAfrica",-99,40533,23,99.9,79546,4.9,1977,32.4,20.1,47.6,32.9,20.4,46.7,13.4,-99,-99,1797,7658,-5861,-5933,2.3,33.8,2.5,4.8,3619.6,48.7,8.4,"...",30.5,26.6,133,-99,682,16,1.09
"Suriname",182331,149697,32634,3809,31.08,25.52,5.56,6493,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthAmerica",163820,563,3.6,100.7,4879,-2.7,8985.3,11.4,27.4,61.1,3.4,22.3,74.3,9.9,152,152,1437,1244,193,-808,1,66,0.8,2.5,"~0.0",17.4,5.7,-99,25.5,42.8,83,98.3,44,62,0.32
"Sweden",7099237,4456063,2643174,80270,70.29,44.12,26.17,7948,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"NorthernEurope",438574,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,100,100,139574,140838,-1263,23250,0.8,85.8,0.8,1.9,348.5,2.4,11.9,7.7,43.6,90.6,54,68.9,1428,206,-99
"Switzerland",6702155,4065341,2636814,84979,77.44,46.97,30.47,9819,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"WesternEurope",41291,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,106,106,304691,269157,35534,77378,1.2,73.9,1.1,1.5,110.1,3.9,11.7,5.1,32.5,88,74,31.6,552,126,-99
"Tajikistan",102711,89121,13590,774,1.08,0.93,0.14,81,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"CentralAsia",142600,8921,63.7,100.9,7853,4.2,925.9,25,28,47.1,57.2,13.4,29.4,10.8,155,172,899,3030,-2132,-472,2.2,26.8,2.6,3.5,21.8,38.9,6.9,5.2,19,19,45,3,76,14,4.55
"Thailand",8148335,5844521,2303814,195360,11.67,8.37,3.3,2799,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"South-easternAsia",513120,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,34,22.7,43.3,0.6,129,126,213927,195666,18260,32149,0.4,50.4,3,1.5,554.1,11.2,4.1,4.1,4.9,39.3,611,32,3338,83,0.02
"Togo",347246,270784,76462,4684,4.19,3.27,0.92,566,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",56785,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,140,143,715,1716,-1001,-461,2.6,40,3.8,4.7,13.8,55.7,5.2,5.2,17.6,7.1,80,3.8,111,20,5.51
"Tonga",,28667,,,,27.12,,,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Polynesia",747,108,150,100.7,402,3.8,3784.5,22.4,21.5,56.1,33.3,28.2,38.5,4.8,134,134,14,209,-196,-33,0.4,23.7,0.7,3.8,"...",20.6,5.2,"...",3.8,45,79,12.5,0,15,18.3
"Trinidad and Tobago",235400,183832,51568,6129,16.82,13.14,3.68,4379,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",5127,1369,266.9,97.1,25927,0.2,19062.9,0.5,42.5,57,4.1,31.6,64.3,4.2,95,95,4576,4826,-249,"...",0.5,8.4,-1.2,1.8,0.2,24.8,5.9,"...",31,69.2,69,45.4,1663,607,"..."
"Tunisia",1661855,1215888,445967,28868,14.06,10.29,3.77,2443,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,"NorthernAfrica",163610,11532,74.2,97.6,41199,0.8,3660.9,10.3,27.8,62,11.7,29.4,58.9,14.6,108,108,13483,19456,-5973,-3850,1.2,66.8,1.4,2.3,0.7,18.5,7,6.3,31.3,48.5,96,6.6,274,39,1.14
"Turkey",44951168,30267732,14683436,1030296,53.3,35.89,17.41,12216,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAsia",783562,80745,104.9,97,717888,4,9125.8,8.6,26.4,65,19.6,27.5,52.9,10.8,120,122,142606,198602,-55996,-32278,1.6,73.4,2,2.1,3006.3,12.6,5.4,4.8,14.9,53.7,388,15.1,1303,65,0.3
"Turkmenistan",41993,32240,9753,,0.7,0.53,0.16,,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,"CentralAsia",488100,5758,12.3,97,37597,6.5,6996.7,13.4,51,35.6,17.9,37.4,44.7,8.6,103,109,3741,2616,1125,-99,1.8,50,1.9,3,7.2,46.9,2.1,3.1,25.8,15,54,8.8,3270,212,0.07
"Turks and Caicos Islands",38110,22700,15410,92,98.43,58.63,39.8,2376,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",948,35,37.3,104.1,863,4.1,25121.8,0.6,10.4,89,"...","...","...","...",-99,-99,4,389,-385,-99,2,92.2,2.5,-99,"~0.0",-99,-99,3.3,-99,-99,60,36.2,0,86,-99
"Tuvalu",4772,4772,,169,40.47,40.47,,14332,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Polynesia",26,11,373.1,102,33,3.5,3362.4,26,7.6,66.4,-99,-99,-99,"...",110,110,"~0",12,-12,7,0.9,59.7,1.9,3.6,-99,"...",16.5,-99,6.7,42.7,96,33.3,-99,13,63.52
"Uganda",841629,841629,,4216,1.84,1.84,,92,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"EasternAfrica",241550,42863,214.5,99,25282,5.4,647.7,25.6,21.5,52.9,72,7.4,20.5,2.4,93,90,2755,3750,-996,-2353,3.4,16.1,5.4,5.9,727.1,60.2,7.2,2.2,34.3,19.2,196,11,409,12,6.35
"Ukraine",2229165,1793999,435166,45924,5.1,4.1,1,1050,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"EasternEurope",603500,44223,76.3,86,90615,-9.9,2021.6,14,26.3,59.7,15.7,24.6,59.7,8.8,137,137,36369,39184,-2815,-189,-0.5,69.7,-0.3,1.5,1644.8,8.8,7.1,5.9,12.3,49.3,102,16.6,3203,98,1.63
"United Arab Emirates",14735666,,,95308,148.99,,,9636,false,true,true,false,true,true,false,false,false,false,true,false,false,false,false,false,false,"WesternAsia",83600,9400,112.4,262.4,370296,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,70,70,195613,201908,-6296,-99,2,85.5,2.9,1.8,1.3,6.2,3.6,-99,20,91.2,56,3.8,8642,366,-99
"United Kingdom",75188795,43448680,31740115,389619,110.76,64,46.76,5739,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"NorthernEurope",242495,66182,273.6,97.4,2858003,2.2,44162.4,0.7,19.4,79.9,1.2,18.4,80.4,5,108,108,415856,635570,-219713,-122571,0.6,82.6,0.9,1.9,151.7,4.1,9.1,5.7,30,92,102,12.9,4482,116,-99
"United States of America",319872053,177948892,150787303,993840,95.64,53.21,45.09,2972,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"NorthernAmerica",9833517,324460,35.5,98,18036648,2.6,56053.8,1,19.7,79.3,1.5,17.2,81.3,4.9,111,113,1453167,2249661,-796494,-462961,0.7,81.6,1,1.9,616.5,6,17.1,5.4,19.1,74.6,1513,33.9,83887,289,-99
"Uruguay",3660589,2175199,1485390,34369,105.38,62.62,42.76,9894,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthAmerica",173626,3457,19.8,93.5,53442,1,15573.8,6.8,28,65.2,8.7,20.5,70.8,8.8,129,130,6964,8137,-1173,-1141,0.3,95.3,0.5,2,0.5,12.7,8.6,4.4,20.2,64.6,106,10.4,113,58,0.04
"Uzbekistan",2695058,1623764,1002919,39902,8.05,4.85,3,1192,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,"CentralAsia",448969,31911,75,99.4,69004,6.8,2308.3,19.2,32.9,47.9,29,23.9,47.1,8.9,158,174,27947,25652,2295,-99,1.6,36.4,1.4,2.4,86.7,31.3,5.8,-99,16,42.8,59,7.6,2339,62,0.66
"Vanuatu",7462,7462,,419,2.43,2.43,,1364,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Melanesia",12189,276,22.7,102.4,737,-1,2783,26.7,8.4,64.9,61.4,6.8,31.8,5.3,123,122,50,416,-366,-82,2.3,26.1,3.4,3.4,"~0.0",24.3,5,5.5,0,22.4,137,36.1,1,12,12.32
"Viet Nam",2626337,2488655,137682,121863,2.7,2.56,0.14,1252,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"South-easternAsia",330967,95541,308.1,98,193241,6.7,2067.9,18.9,37,44.2,41.8,22.9,35.2,2.2,136,134,176632,174111,2520,906,1.1,33.6,3,2,11,19.3,7.1,5.7,26.7,52.7,616,47.2,2977,30,1.73
"Yemen",251385,251385,,3252,0.84,0.84,,109,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAsia",527968,28250,53.5,102.1,29688,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,16.1,136,137,570,6861,-6291,-3026,2.6,34.6,4,4.4,3371.4,47.2,5.6,"...",0,25.1,298,1,668,12,2.99
"Zambia",148304,142089,6215,91,0.81,0.77,0.03,5,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"EasternAfrica",752612,17094,23,98.5,21255,2.9,1311.1,8.2,32.3,59.5,54.8,9.9,35.3,7.4,179,180,6505,7442,-937,-768,3,40.9,4.3,5.2,55.3,53.8,5,"...",18,21,88,65.6,374,26,3.96
"Zimbabwe",1166849,715056,451793,6568,7.85,4.81,3.04,442,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"EasternAfrica",390757,16530,42.7,95,13893,1.1,890.4,13,30.5,56.5,67.5,7.3,25.2,5,99,98,2832,5212,-2379,-1521,2.3,32.4,2.3,4,308.6,46.5,6,8.4,32.6,16.4,89,37.2,482,30,6